pin,slack
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_current_state_ns[4]:B,16207
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_current_state_ns[4]:C,17430
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_current_state_ns[4]:Y,16207
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/register_ahb_signals.HADDR_d_xhdl13_5_17_729_i_m2:A,371
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/register_ahb_signals.HADDR_d_xhdl13_5_17_729_i_m2:B,17545
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/register_ahb_signals.HADDR_d_xhdl13_5_17_729_i_m2:C,8832
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/register_ahb_signals.HADDR_d_xhdl13_5_17_729_i_m2:Y,371
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M_int[19]:ALn,16494
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M_int[19]:CLK,18655
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M_int[19]:D,18655
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M_int[19]:Q,18655
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M_int[19]:SLn,16176
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/WDATA_0[0]:A,12468
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/WDATA_0[0]:B,12065
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/WDATA_0[0]:Y,12065
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/current_state[2]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/current_state[2]:CLK,11296
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/current_state[2]:D,366
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/current_state[2]:Q,11296
top_sb_0/MSS_SMC_0/RDATA_reg_RNO[52]:A,17169
top_sb_0/MSS_SMC_0/RDATA_reg_RNO[52]:B,17105
top_sb_0/MSS_SMC_0/RDATA_reg_RNO[52]:C,17485
top_sb_0/MSS_SMC_0/RDATA_reg_RNO[52]:D,17374
top_sb_0/MSS_SMC_0/RDATA_reg_RNO[52]:Y,17105
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_RNO[13]:A,12476
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_RNO[13]:B,10324
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_RNO[13]:C,17381
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_RNO[13]:D,12695
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_RNO[13]:Y,10324
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.3.openbank_r1_i/actable_shift_57_m2[8]:A,12947
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.3.openbank_r1_i/actable_shift_57_m2[8]:B,12839
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.3.openbank_r1_i/actable_shift_57_m2[8]:C,16375
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.3.openbank_r1_i/actable_shift_57_m2[8]:Y,12839
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/raddr_gray[27]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/raddr_gray[27]:CLK,18655
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/raddr_gray[27]:D,9465
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/raddr_gray[27]:Q,18655
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RLAST_M_4:A,15453
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RLAST_M_4:B,17545
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RLAST_M_4:Y,15453
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wa_channel/genblk1.inst_wrmatrix_4Mto1S/AWADDR_IS[19]:ALn,16494
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wa_channel/genblk1.inst_wrmatrix_4Mto1S/AWADDR_IS[19]:CLK,18655
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wa_channel/genblk1.inst_wrmatrix_4Mto1S/AWADDR_IS[19]:D,18655
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wa_channel/genblk1.inst_wrmatrix_4Mto1S/AWADDR_IS[19]:Q,18655
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/wvalid_set_r_1:A,17534
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/wvalid_set_r_1:B,17498
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/wvalid_set_r_1:Y,17498
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.1.openbank_r1_i/rw_p.rwable_shift_7[4]:A,17590
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.1.openbank_r1_i/rw_p.rwable_shift_7[4]:B,17275
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.1.openbank_r1_i/rw_p.rwable_shift_7[4]:C,15107
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.1.openbank_r1_i/rw_p.rwable_shift_7[4]:Y,15107
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/U_WRCH_RAM/mem1_mem1_0_1/CFG_27:C,16651
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/U_WRCH_RAM/mem1_mem1_0_1/CFG_27:IPC,16651
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_rd_channel/inst_rdmatrix_16Sto1M/RDATA_IM[12]:ALn,16494
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_rd_channel/inst_rdmatrix_16Sto1M/RDATA_IM[12]:CLK,18655
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_rd_channel/inst_rdmatrix_16Sto1M/RDATA_IM[12]:D,14860
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_rd_channel/inst_rdmatrix_16Sto1M/RDATA_IM[12]:Q,18655
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/rdch_fifo_wr_data[18]:A,17757
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/rdch_fifo_wr_data[18]:B,13524
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/rdch_fifo_wr_data[18]:C,17611
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/rdch_fifo_wr_data[18]:Y,13524
top_sb_0/top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_49:IPA,
top_sb_0/MSS_SMC_0/raddr_reg_9_1_iv_3_RNO[13]:A,13702
top_sb_0/MSS_SMC_0/raddr_reg_9_1_iv_3_RNO[13]:B,13572
top_sb_0/MSS_SMC_0/raddr_reg_9_1_iv_3_RNO[13]:C,12328
top_sb_0/MSS_SMC_0/raddr_reg_9_1_iv_3_RNO[13]:D,8489
top_sb_0/MSS_SMC_0/raddr_reg_9_1_iv_3_RNO[13]:Y,8489
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.1.openbank_r1_i/pcable_shift[8]:ALn,16494
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.1.openbank_r1_i/pcable_shift[8]:CLK,17493
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.1.openbank_r1_i/pcable_shift[8]:D,17032
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.1.openbank_r1_i/pcable_shift[8]:Q,17493
top_sb_0/MSS_SMC_0/axi_state_ns_0[8]:A,17629
top_sb_0/MSS_SMC_0/axi_state_ns_0[8]:B,17521
top_sb_0/MSS_SMC_0/axi_state_ns_0[8]:C,17469
top_sb_0/MSS_SMC_0/axi_state_ns_0[8]:D,13480
top_sb_0/MSS_SMC_0/axi_state_ns_0[8]:Y,13480
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk14.un1_AWADDR_M_NE_1:A,12758
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk14.un1_AWADDR_M_NE_1:B,12701
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk14.un1_AWADDR_M_NE_1:C,12542
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk14.un1_AWADDR_M_NE_1:D,12426
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk14.un1_AWADDR_M_NE_1:Y,12426
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/wbinaddr_RNICLV03[4]:B,13371
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/wbinaddr_RNICLV03[4]:FCI,12135
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/wbinaddr_RNICLV03[4]:FCO,12135
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/wbinaddr_RNICLV03[4]:S,12423
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/rsync2_wptr[21]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/rsync2_wptr[21]:CLK,14749
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/rsync2_wptr[21]:D,18655
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/rsync2_wptr[21]:Q,14749
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/register_ahb_signals.HADDR_d_xhdl13_5_7_1029_i_m2:A,371
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/register_ahb_signals.HADDR_d_xhdl13_5_7_1029_i_m2:B,17545
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/register_ahb_signals.HADDR_d_xhdl13_5_7_1029_i_m2:C,8832
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/register_ahb_signals.HADDR_d_xhdl13_5_7_1029_i_m2:Y,371
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/wsync1_rptr[4]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/wsync1_rptr[4]:CLK,18655
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/wsync1_rptr[4]:D,18655
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/wsync1_rptr[4]:Q,18655
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/U_RDCH_RAM/mem1_mem1_0_1/CFG_10:B,16673
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/U_RDCH_RAM/mem1_mem1_0_1/CFG_10:IPB,16673
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/U_RDCH_RAM/mem1_mem1_0_1/CFG_10:IPC,
top_sb_0/MSS_SMC_0/sdr_datain_m1[14]:A,16635
top_sb_0/MSS_SMC_0/sdr_datain_m1[14]:B,16102
top_sb_0/MSS_SMC_0/sdr_datain_m1[14]:C,14890
top_sb_0/MSS_SMC_0/sdr_datain_m1[14]:Y,14890
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/sa[11]:ALn,16494
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/sa[11]:CLK,18655
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/sa[11]:D,15240
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/sa[11]:Q,18655
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/rsync2_wptr[20]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/rsync2_wptr[20]:CLK,16322
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/rsync2_wptr[20]:D,18655
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/rsync2_wptr[20]:Q,16322
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/Gen_Empty.fifo_empty_xhdl3_0_I_57:A,16284
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/Gen_Empty.fifo_empty_xhdl3_0_I_57:B,14518
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/Gen_Empty.fifo_empty_xhdl3_0_I_57:C,14448
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/Gen_Empty.fifo_empty_xhdl3_0_I_57:D,12966
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/Gen_Empty.fifo_empty_xhdl3_0_I_57:FCI,12985
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/Gen_Empty.fifo_empty_xhdl3_0_I_57:FCO,12966
SA_obuf[12]/U0/U_IOENFF:A,
SA_obuf[12]/U0/U_IOENFF:Y,
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wa_channel/genblk1.inst_wrmatrix_4Mto1S/UWA_ARBITER/m20_e_21:A,10222
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wa_channel/genblk1.inst_wrmatrix_4Mto1S/UWA_ARBITER/m20_e_21:B,9055
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wa_channel/genblk1.inst_wrmatrix_4Mto1S/UWA_ARBITER/m20_e_21:C,10077
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wa_channel/genblk1.inst_wrmatrix_4Mto1S/UWA_ARBITER/m20_e_21:D,9966
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wa_channel/genblk1.inst_wrmatrix_4Mto1S/UWA_ARBITER/m20_e_21:Y,9055
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/U_RDCH_RAM/mem1_mem1_0_0/FF_20:IPENn,
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RVALID_M:ALn,16494
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RVALID_M:CLK,8085
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RVALID_M:D,15472
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RVALID_M:Q,8085
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/wbinaddr[1]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/wbinaddr[1]:CLK,13298
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/wbinaddr[1]:D,17317
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/wbinaddr[1]:Q,13298
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/wbinaddr[1]:SLn,2649
top_sb_0/MSS_SMC_0/RDATA_reg_RNO[63]:A,17169
top_sb_0/MSS_SMC_0/RDATA_reg_RNO[63]:B,17105
top_sb_0/MSS_SMC_0/RDATA_reg_RNO[63]:C,17485
top_sb_0/MSS_SMC_0/RDATA_reg_RNO[63]:D,17374
top_sb_0/MSS_SMC_0/RDATA_reg_RNO[63]:Y,17105
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.0.openbank_r1_i/un7_dopch:A,15123
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.0.openbank_r1_i/un7_dopch:B,16025
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.0.openbank_r1_i/un7_dopch:Y,15123
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_rd_channel/inst_rdmatrix_16Sto1M/RDATA_IM_RNO[44]:A,17645
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_rd_channel/inst_rdmatrix_16Sto1M/RDATA_IM_RNO[44]:B,17521
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_rd_channel/inst_rdmatrix_16Sto1M/RDATA_IM_RNO[44]:C,15518
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_rd_channel/inst_rdmatrix_16Sto1M/RDATA_IM_RNO[44]:D,14588
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_rd_channel/inst_rdmatrix_16Sto1M/RDATA_IM_RNO[44]:Y,14588
BA_obuf[0]/U0/U_IOPAD:D,
BA_obuf[0]/U0/U_IOPAD:E,
BA_obuf[0]/U0/U_IOPAD:PAD,
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/U_WRCH_RAM/mem1_mem1_0_1/CFG_20:C,18763
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/U_WRCH_RAM/mem1_mem1_0_1/CFG_20:IPB,
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/U_WRCH_RAM/mem1_mem1_0_1/CFG_20:IPC,18763
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/wsync2_rptr[1]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/wsync2_rptr[1]:CLK,16094
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/wsync2_rptr[1]:D,18655
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/wsync2_rptr[1]:Q,16094
top_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/regHADDR[27]:ALn,16494
top_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/regHADDR[27]:CLK,16421
top_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/regHADDR[27]:D,16666
top_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/regHADDR[27]:EN,346
top_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/regHADDR[27]:Q,16421
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_ns_i_0[17]:A,16478
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_ns_i_0[17]:B,16107
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_ns_i_0[17]:C,16330
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_ns_i_0[17]:D,16210
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_ns_i_0[17]:Y,16107
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/un1_burst_num_r_1_1[4]:A,5127
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/un1_burst_num_r_1_1[4]:B,13729
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/un1_burst_num_r_1_1[4]:C,-2250
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/un1_burst_num_r_1_1[4]:D,3780
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/un1_burst_num_r_1_1[4]:Y,-2250
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/rdch_write_data_r[55]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/rdch_write_data_r[55]:CLK,17593
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/rdch_write_data_r[55]:D,18655
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/rdch_write_data_r[55]:EN,16767
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/rdch_write_data_r[55]:Q,17593
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/wbinaddr[12]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/wbinaddr[12]:CLK,13523
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/wbinaddr[12]:D,17108
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/wbinaddr[12]:Q,13523
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/wbinaddr[12]:SLn,2649
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/rbinaddr[19]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/rbinaddr[19]:CLK,13303
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/rbinaddr[19]:D,16921
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/rbinaddr[19]:Q,13303
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/rbinaddr[19]:SLn,2649
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wd_channel/genblk5.WDATA_IS[2]:ALn,16494
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wd_channel/genblk5.WDATA_IS[2]:CLK,18655
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wd_channel/genblk5.WDATA_IS[2]:D,18655
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wd_channel/genblk5.WDATA_IS[2]:Q,18655
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wd_channel/genblk5.WDATA_IS[2]:SLn,9115
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/un1_burst_num_r_2_1.SUM_N_8_i:A,-602
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/un1_burst_num_r_2_1.SUM_N_8_i:B,-2250
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/un1_burst_num_r_2_1.SUM_N_8_i:C,17420
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/un1_burst_num_r_2_1.SUM_N_8_i:D,7607
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/un1_burst_num_r_2_1.SUM_N_8_i:Y,-2250
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.3.openbank_r1_i/actable_shift[5]:ALn,16494
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.3.openbank_r1_i/actable_shift[5]:CLK,16331
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.3.openbank_r1_i/actable_shift[5]:D,12839
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.3.openbank_r1_i/actable_shift[5]:Q,16331
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/waddr_gray[30]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/waddr_gray[30]:CLK,18655
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/waddr_gray[30]:D,15640
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/waddr_gray[30]:Q,18655
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wrdata_xhdl27_6_sqmuxa_1:A,12155
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wrdata_xhdl27_6_sqmuxa_1:B,14668
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wrdata_xhdl27_6_sqmuxa_1:Y,12155
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_wresp_channel/BVALID_IM:ALn,16494
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_wresp_channel/BVALID_IM:CLK,17537
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_wresp_channel/BVALID_IM:D,17495
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_wresp_channel/BVALID_IM:Q,17537
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/U_WRCH_RAM/mem2_mem2_0_1/CFG_12:B,18706
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/U_WRCH_RAM/mem2_mem2_0_1/CFG_12:C,18774
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/U_WRCH_RAM/mem2_mem2_0_1/CFG_12:IPB,18706
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/U_WRCH_RAM/mem2_mem2_0_1/CFG_12:IPC,18774
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/WDATA_2_iv_0[49]:A,12542
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/WDATA_2_iv_0[49]:B,12168
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/WDATA_2_iv_0[49]:C,16375
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/WDATA_2_iv_0[49]:D,14210
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/WDATA_2_iv_0[49]:Y,12168
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/rdch_write_data_r[51]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/rdch_write_data_r[51]:CLK,17522
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/rdch_write_data_r[51]:D,18655
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/rdch_write_data_r[51]:EN,16767
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/rdch_write_data_r[51]:Q,17522
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wr_data_d[34]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wr_data_d[34]:CLK,16370
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wr_data_d[34]:D,16589
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wr_data_d[34]:Q,16370
top_sb_0/MSS_SMC_0/WDATA_mux_8_m2[4]:A,14042
top_sb_0/MSS_SMC_0/WDATA_mux_8_m2[4]:B,12704
top_sb_0/MSS_SMC_0/WDATA_mux_8_m2[4]:C,15205
top_sb_0/MSS_SMC_0/WDATA_mux_8_m2[4]:D,14928
top_sb_0/MSS_SMC_0/WDATA_mux_8_m2[4]:Y,12704
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/HBURST_undef_d[0]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/HBURST_undef_d[0]:CLK,17493
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/HBURST_undef_d[0]:D,10037
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/HBURST_undef_d[0]:EN,17123
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/HBURST_undef_d[0]:Q,17493
top_sb_0/top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_74:IPA,
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/U_WRCH_RAM/mem1_mem1_0_0/FF_11:IPENn,
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.2.openbank_r1_i/pcable_shift_RNO[3]:A,17288
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.2.openbank_r1_i/pcable_shift_RNO[3]:B,17537
